username,pet_breed,age,size,gender,latitude,longitude
7831,Shih Tzu,9,small,Male,22.412831509695085,30.484498917411038
5344,Siberian Husky,3,medium,Male,28.011712647358216,32.182209650969625
1014,Siberian Husky,3,medium,Female,22.59848576802981,34.32094267385154
5584,Beagle,14,small,Female,30.139795020073663,29.57033190916735
8951,French Griffon,3,small,Female,25.102104839101564,26.63298528325506
9701,Boxer,5,medium,Female,24.630769499215713,33.959463786898276
8676,Labrador Retriever,15,large,Male,27.679055328322196,33.52368357698708
9892,Border Collie,7,medium,Male,23.22444369300511,31.834516417278984
6082,Poodle,14,small,Female,26.596245905023014,35.68046368182978
6258,Doberman Pinscher,1,large,Female,24.426918378540027,33.03991868838304
6596,Chihuahua,13,small,Male,29.119387746914825,28.96594771609598
3303,Golden Retriever,7,large,Male,22.671091468493714,29.001711607664223
3065,Great Dane,11,large,Male,29.682198968849445,34.2651803605746
3910,Beagle,12,small,Female,22.068201183609393,34.60952352810925
9443,Great Dane,11,large,Female,22.801238985583037,31.23764220887388
6708,Shih Tzu,1,small,Female,23.672396687029092,27.519344309557557
9901,Doberman Pinscher,2,large,Male,26.931627028865787,33.68003317147776
6546,Golden Retriever,5,large,Female,28.121271576764954,33.952856000380734
6801,Australian Shepherd,13,medium,Female,25.57990373285315,34.95055176018478
1481,Australian Shepherd,14,medium,Male,22.726518915167784,35.91075520803324
2548,Dachshund,15,small,Male,29.917720604493205,28.355746142485735
2567,French Griffon,14,small,Male,28.45474412367512,25.719238812142592
1899,Australian Shepherd,9,medium,Male,22.62991740152377,33.94860699555931
8234,Golden Retriever,4,large,Female,22.57311218813532,32.14626867099886
8214,Dachshund,10,small,Female,28.6032659011802,34.93395709072857
9878,Beagle,9,small,Female,23.984295779201876,29.8096906892836
5302,Pomeranian,2,small,Female,27.06719240241023,32.13253888338003
6339,Great Dane,13,large,Male,26.513463168157912,30.220124294556303
6437,Bulldog,13,medium,Female,24.549322046354774,25.008698220316205
3058,Doberman Pinscher,1,large,Female,22.630306442068196,32.69919829976044
2310,Labrador Retriever,7,large,Female,25.746116124013234,30.45845019865508
3429,Yorkshire Terrier,11,small,Male,28.562349968446128,34.496989449418066
4737,French Bulldog,13,small,Male,27.54558958184822,34.65258315356261
8798,Boxer,15,medium,Female,24.169689685922926,32.76245328264811
7482,Pomeranian,11,small,Male,22.940086320100637,35.750171768879554
5389,Yorkshire Terrier,12,small,Female,25.464650383991703,32.97564460001953
1834,German Shepherd,11,large,Male,29.37105750609072,33.46830874011425
1015,Boxer,2,medium,Male,26.61262304859982,34.42101297465865
5276,Siberian Husky,14,medium,Male,27.352414365818856,28.469273962963108
5152,Siberian Husky,10,medium,Female,27.259265187876007,27.82161395175072
3217,Yorkshire Terrier,8,small,Female,26.88667788459675,27.132231308200904
4427,Border Collie,13,medium,Male,29.55851299881006,31.69108927902423
2430,Shih Tzu,11,small,Male,25.29454357416714,31.641498085071003
5299,French Bulldog,8,small,Male,25.35936671513171,34.55653619846452
1465,Poodle,12,small,Female,24.204353705440045,30.011648882371606
1887,Pomeranian,9,small,Female,30.14986620161212,26.218414825204164
5900,Labrador Retriever,9,large,Male,30.627811249425683,34.66171198109871
3573,Bulldog,4,medium,Female,27.011187207631018,28.01821041257754
6581,Chihuahua,9,small,Female,25.174106939627144,32.77405294447094
4491,French Bulldog,6,small,Female,29.5813345043757,27.00118704072788
8748,Border Collie,15,medium,Female,30.98317176609255,35.650532666549154
7317,Yorkshire Terrier,8,small,Male,26.405255326172863,35.303277415801624
5749,Australian Shepherd,15,medium,Female,26.87885793427911,28.974640407363573
7811,Beagle,7,small,Male,25.709400529142393,26.16264929773893
4778,Maltese,2,small,Female,30.12785891467064,27.106650651417525
1049,Maltese,5,small,Female,24.91431421211636,35.38140107880665
5809,Australian Shepherd,14,medium,Male,29.837763643061503,34.39569113364354
5755,French Bulldog,11,small,Female,25.774169151465983,25.360287882731487
2373,Yorkshire Terrier,11,small,Male,23.613333785708353,25.3961497149792
7357,German Shepherd,14,large,Male,24.316175977824784,33.920963168137845
9228,French Griffon,13,small,Female,29.877901741104118,30.905845357598977
2405,Great Dane,2,large,Male,25.104435193705516,27.277916457946098
3163,Australian Shepherd,12,medium,Male,28.713810945579116,28.34767228551177
8006,Doberman Pinscher,14,large,Male,26.8465919469619,32.81684927970825
3348,French Bulldog,6,small,Female,22.848365773600047,26.978167832614094
1848,Dachshund,15,small,Female,30.738224993849627,33.02353144370974
6376,Doberman Pinscher,5,large,Female,25.055821131650745,34.08490142615855
8870,Siberian Husky,12,medium,Female,29.337989869751734,25.87583099479867
8655,Pomeranian,6,small,Male,23.484548955495406,33.37741414429206
1613,German Shepherd,12,large,Male,26.16341400816597,29.0957449176947
9346,German Shepherd,11,large,Female,25.951026915734236,31.681393580933808
2724,Chihuahua,13,small,Male,25.257318121960864,29.150596552960543
2931,Boxer,8,medium,Male,22.914953477671666,31.27457738224457
1616,Great Dane,13,large,Male,28.178600091545817,33.40565764314344
4064,Great Dane,9,large,Male,24.055246453183774,30.316658643632856
7999,Maltese,9,small,Male,28.44346708665574,34.33811334677887
8442,German Shepherd,5,large,Female,29.67881818907062,26.019973409747784
1040,French Bulldog,11,small,Male,30.51430454881978,27.26364138878905
2615,Golden Retriever,3,large,Male,28.66400344170136,33.7582155918155
8531,Chihuahua,3,small,Male,28.073405339305715,34.41571879624116
1744,German Shepherd,4,large,Male,23.755841718942516,31.816109934594586
4866,Border Collie,10,medium,Female,23.48415942638113,29.036405288117685
7134,Dachshund,3,small,Male,22.521644814048223,27.545058226500384
4104,Chihuahua,1,small,Female,29.952669964195252,34.22248318679712
1279,Rottweiler,11,large,Female,23.593614555985862,25.459025768722164
2888,French Griffon,9,small,Female,29.65476994289577,25.601835541036444
7709,French Griffon,4,small,Male,24.118084126012846,31.60097704147718
2184,Doberman Pinscher,2,large,Female,24.81133444986656,35.91661515232489
6387,Border Collie,13,medium,Female,25.049612644666233,27.587073905666436
4751,Beagle,4,small,Female,28.04950939474925,28.178417921754615
8631,Border Collie,3,medium,Female,26.85389743328894,35.19485228764194
7249,Shih Tzu,6,small,Male,28.998033031414312,30.842919641577836
8371,French Griffon,15,small,Male,24.424435689212075,25.896522756749057
7883,Australian Shepherd,2,medium,Female,24.04038419725843,32.61634476155044
3649,Doberman Pinscher,2,large,Male,30.428449249554202,27.332033377133975
8779,Bulldog,5,medium,Male,30.684383303704493,30.669225285228954
6212,Dachshund,8,small,Male,27.396677541929357,31.01568774157185
1032,Yorkshire Terrier,8,small,Female,30.041899880212704,29.2168996369587
8028,Beagle,9,small,Male,25.569245768225016,32.43179695554498
5669,Dachshund,13,small,Female,30.50051406539185,29.219817136458715
5220,Maltese,6,small,Male,26.938291364205135,26.778828422554177
4745,Dachshund,4,small,Female,29.142578194956474,29.67588679244694
9918,Rottweiler,1,large,Male,23.41677069403522,28.555383485746486
5560,Pomeranian,3,small,Female,26.78530597366878,25.211942796172075
8688,Beagle,4,small,Female,25.657860460440318,26.50210909344544
8485,French Bulldog,3,small,Female,22.265399685232683,28.739391487793974
6447,Border Collie,15,medium,Female,24.51199981819836,31.969528955784995
2930,Labrador Retriever,3,large,Male,24.822140630450367,34.34240383731773
1184,Beagle,11,small,Male,27.041487856363414,32.091543064768445
7742,Bulldog,6,medium,Male,30.018819569593404,26.072480415942483
5786,Poodle,4,small,Female,29.892684048366043,28.434658732288064
7383,Australian Shepherd,13,medium,Female,24.450743620680846,34.228338923706566
9278,French Bulldog,12,small,Male,29.139586211714768,28.66386966390611
2582,Beagle,9,small,Female,26.76433672841068,34.91443175449209
2618,Great Dane,13,large,Male,24.056078493505566,34.2529868620642
6486,Dachshund,14,small,Female,30.990359218415442,28.295725686153872
9971,Yorkshire Terrier,7,small,Male,22.720368258581715,27.392973988679344
5003,French Griffon,13,small,Male,28.23834669839375,25.736431915961134
5385,Australian Shepherd,7,medium,Male,25.993873980288985,33.921107654533834
1233,French Griffon,14,small,Female,24.813812092201886,34.31617790875383
8114,Boxer,10,medium,Female,25.637446127010456,33.8334847200496
9656,Great Dane,4,large,Male,28.570435058962833,26.491515606786642
5830,Border Collie,5,medium,Female,27.009619308408414,31.117010296337206
6720,Golden Retriever,9,large,Female,26.98233151550921,32.53521408091833
5858,German Shepherd,5,large,Female,25.99865661164965,34.51638650235572
4387,Rottweiler,5,large,Male,28.061462214947404,25.892775072957427
4803,Pomeranian,1,small,Female,26.0307982184513,31.831986097463226
7438,Bulldog,13,medium,Male,29.62702561404858,35.16226745904658
1529,Beagle,9,small,Male,29.36435685185506,29.644884391696376
6668,Rottweiler,15,large,Male,22.520999308787957,26.528498427486007
3767,Dachshund,13,small,Male,25.326304518835876,31.237073361097245
9824,Chihuahua,4,small,Female,23.31295640015723,34.784217147250004
3050,Shih Tzu,3,small,Female,23.664548398671805,33.85129841955119
7989,Chihuahua,4,small,Female,22.4174610305201,28.96424725860843
8156,Poodle,13,small,Male,30.55601561894816,25.145473218439484
3187,Beagle,8,small,Male,23.928265442151943,31.564008315269696
9839,Border Collie,3,medium,Female,30.507352538951316,31.979862754929645
9399,Boxer,11,medium,Female,26.01108017704191,33.40479465966178
7300,Beagle,12,small,Female,27.91135138588043,32.652876783832724
9273,Labrador Retriever,9,large,Female,22.15485503177472,32.5088571355643
4207,French Bulldog,8,small,Male,28.325062631369967,31.878787149176873
5096,Boxer,7,medium,Male,22.058447499489755,27.445977791423246
1112,Australian Shepherd,5,medium,Male,30.98258099797967,26.483784445268522
4994,Yorkshire Terrier,2,small,Male,27.307973473170293,26.511645291449085
1054,Boxer,10,medium,Female,27.103185056398605,34.02013162077442
7560,Poodle,1,small,Female,25.769044928917875,27.39589554636074
8400,Rottweiler,1,large,Female,22.438629610552603,31.3471676370331
8946,French Bulldog,6,small,Male,22.06216122044936,33.1100096858635
5205,Chihuahua,1,small,Male,24.114025318014637,27.014787329549094
9696,Shih Tzu,11,small,Male,28.95191690385217,29.099303679624438
7571,Dachshund,12,small,Male,22.9503338222358,32.57084475588351
5595,Doberman Pinscher,1,large,Male,24.694580040936767,25.62848395450109
9174,Siberian Husky,2,medium,Male,28.535128563661214,34.67817726078607
1148,Pomeranian,8,small,Female,28.09306871579641,35.50827766112887
1331,Beagle,2,small,Male,22.963654241289493,28.600703038150883
9888,Labrador Retriever,15,large,Male,29.056250260019056,25.566291524222645
3292,Pomeranian,9,small,Female,28.863445499272203,27.3984386484467
3074,Doberman Pinscher,9,large,Male,23.531329920110064,32.70383554115605
4781,Golden Retriever,4,large,Female,22.94453644233137,33.98337857139146
5253,Bulldog,4,medium,Female,28.95303312797593,26.83122602600795
2390,Siberian Husky,13,medium,Male,24.988515969106526,25.467394759259264
2318,Chihuahua,14,small,Male,28.863025684446885,33.445017666530724
7108,Poodle,6,small,Male,23.222734512248973,35.73152127961755
8287,Great Dane,6,large,Male,28.604195344156146,29.54413490831653
2928,Poodle,10,small,Female,24.165545743244287,26.715439658644627
1383,German Shepherd,13,large,Female,24.315156925709488,25.402208300325153
3627,Golden Retriever,2,large,Female,28.599460988421804,25.385594016725115
6470,Yorkshire Terrier,9,small,Male,27.432886659771412,25.153255428765814
5842,Dachshund,2,small,Male,25.674898078256696,33.10065983698483
1133,Poodle,2,small,Female,30.921180104495086,27.790152439354436
8459,Siberian Husky,6,medium,Female,27.151797266160536,30.011092186530995
2397,Labrador Retriever,10,large,Female,26.701126147351154,31.915308282768507
4661,Australian Shepherd,8,medium,Female,22.832374274978456,34.109771779964134
5839,Poodle,8,small,Female,22.720030534162877,29.666212345887956
5912,Golden Retriever,8,large,Male,24.689619922200087,31.997296760848336
2831,Golden Retriever,10,large,Female,23.15329836153507,26.233188756907914
4097,Boxer,5,medium,Male,30.24026352539952,29.281097819760575
7324,Doberman Pinscher,9,large,Female,27.616946521989018,28.086844149781832
6415,German Shepherd,2,large,Male,25.25547060247395,30.836996049065057
4620,Shih Tzu,10,small,Female,28.686163304114388,25.628561068967308
3845,French Bulldog,2,small,Male,23.89487956176892,29.119618294930625
4922,Border Collie,3,medium,Male,24.79983553558038,34.632146550836744
3716,Great Dane,1,large,Female,29.794303510417052,28.096307192910377
3186,Poodle,14,small,Female,27.252592653022074,29.79564534320452
3214,Rottweiler,14,large,Male,25.28586048361678,30.490191120464907
5364,Labrador Retriever,6,large,Female,26.802024664909183,28.146725345299537
3777,French Bulldog,9,small,Female,27.17363014775777,30.423784540839833
7539,Chihuahua,13,small,Male,30.01402752205108,34.0385914296153
3096,Chihuahua,12,small,Female,22.763101900035057,32.00517281971932
8100,Dachshund,9,small,Male,23.68163849670676,30.323496996118347
6185,Rottweiler,11,large,Male,28.420361778646573,25.760616523915935
7349,Yorkshire Terrier,4,small,Male,22.204317528712874,33.80809411284326
8154,Boxer,5,medium,Male,28.103595234862738,26.23411343803132
5517,Bulldog,9,medium,Female,28.62575182778831,26.003985513296545
3616,Pomeranian,9,small,Female,29.48993573642806,35.382903824254974
9403,Pomeranian,4,small,Female,30.97766403790333,35.688968423674396
3331,Labrador Retriever,12,large,Female,28.816169594669525,30.01189260548958
7873,Beagle,14,small,Male,29.548597040484236,25.07757164516185
