username,pet_breed,age,size,gender,latitude,longitude
4860,Beagle,5,small,Female,27.300590159916,33.071098506699705
7863,Boxer,3,medium,Female,27.542401141240134,30.838130840493797
6431,Siberian Husky,3,medium,Male,25.676052892416603,34.791212599793724
8600,Dachshund,13,small,Male,29.859260041782974,35.05266137527178
8861,Maltese,2,small,Male,22.63755049511286,28.89134032596352
4368,Dachshund,7,small,Female,26.154193748268447,34.70781582953989
9845,Dachshund,1,small,Male,22.085927498704386,35.1748923228971
1376,Border Collie,10,medium,Male,30.53185917496402,31.357077283238844
4652,Siberian Husky,5,medium,Male,26.72144311940138,27.279108169461725
9552,Boxer,14,medium,Female,22.143410495535814,32.151946702090115
8275,Bulldog,6,medium,Male,23.01508139875868,33.133002116362675
8468,Rottweiler,10,large,Female,25.650396899508642,34.125980887189336
9586,Boxer,11,medium,Male,22.2182067405872,31.98586409885495
6284,Siberian Husky,12,medium,Female,24.08509445018227,32.58408145301351
4741,Maltese,5,small,Male,22.842619381515675,35.42345479071368
7327,Great Dane,10,large,Male,25.774109178180154,32.15424092447333
6594,Siberian Husky,1,medium,Male,26.74031895405686,35.90509131241235
6085,Yorkshire Terrier,9,small,Male,23.089189694581147,33.82659231076652
2516,Rottweiler,9,large,Male,22.405369425991655,31.100803244855243
4149,Chihuahua,15,small,Female,25.348068179457243,31.443295798866004
4528,Siberian Husky,1,medium,Female,23.13970056673302,30.147192882348662
2103,Shih Tzu,11,small,Female,22.96172957421581,26.871736604216157
2089,Pomeranian,14,small,Female,28.415828080266735,34.6533505926231
1219,Golden Retriever,1,large,Female,27.42177790580216,28.086416423449084
1885,German Shepherd,15,large,Female,25.15990207795354,25.064403652031277
1499,Dachshund,2,small,Female,23.0158507811312,27.418392042688424
9715,Labrador Retriever,11,large,Female,28.22933396304734,25.20357099176823
6864,Doberman Pinscher,9,large,Male,26.406146154896298,26.563263369283373
9622,Australian Shepherd,4,medium,Female,29.844604774710366,34.670571237679454
6098,Maltese,13,small,Male,28.167173656841946,35.61088842799998
5361,Great Dane,14,large,Male,26.506002427756975,33.822445489267075
9094,Labrador Retriever,6,large,Female,25.086959713863173,25.11068052023168
3172,Siberian Husky,15,medium,Male,22.071876737077094,34.71894069726224
5445,German Shepherd,5,large,Male,23.881810076989353,27.268302829449304
3408,Australian Shepherd,11,medium,Male,29.640194518190487,35.5615913415682
4965,Poodle,5,small,Female,28.382658966195265,27.962738547753137
1758,Maltese,9,small,Female,27.402160930941257,34.02468090826085
4791,Beagle,8,small,Female,22.199436845614944,31.291226070678192
7816,Doberman Pinscher,15,large,Female,23.652239525416523,27.644405197455377
1325,Siberian Husky,14,medium,Male,25.13972313872179,30.118444497883473
7650,Boxer,13,medium,Male,29.434233418849654,28.64746529029081
3468,Shih Tzu,15,small,Male,27.199639381158434,25.194597585635535
7620,Dachshund,10,small,Male,25.995045765496265,28.933262693303586
1976,Labrador Retriever,5,large,Male,24.303155127565145,27.62583012930602
7376,Boxer,8,medium,Male,29.47008631613664,34.30418114894767
5858,Shih Tzu,7,small,Male,29.875269523913865,35.20769269720351
1950,Beagle,2,small,Female,24.68040763584803,34.97336652518738
6513,Rottweiler,8,large,Female,25.851640550992524,30.80248458957914
5818,Rottweiler,9,large,Female,24.71587624731015,28.42127746184492
1008,Shih Tzu,5,small,Male,30.35387859895775,34.3854963423156
6488,Siberian Husky,12,medium,Male,25.99836828989977,32.79920591192533
9554,Pomeranian,2,small,Male,23.344862399284583,28.148025909535473
2353,Beagle,1,small,Female,28.03554930468974,34.28677479036274
8195,Shih Tzu,9,small,Male,22.562269199168206,31.76789460069578
8727,Dachshund,11,small,Male,29.36152966085146,35.37437053001044
9792,Border Collie,3,medium,Male,26.601472168551794,32.576886269293404
6408,Dachshund,6,small,Female,28.923884642961138,27.537976520767266
6799,Doberman Pinscher,14,large,Male,24.116886814018773,25.75009901750205
3974,French Bulldog,15,small,Female,26.12590226614433,31.609313520326673
7997,Dachshund,6,small,Male,26.68087899192031,35.036028008866325
8446,Dachshund,4,small,Male,30.89625649627191,27.17356056840368
8122,Rottweiler,3,large,Female,28.073404830602044,32.74913021779301
7261,Great Dane,8,large,Male,23.304420148404585,28.91791690064779
5939,Yorkshire Terrier,10,small,Female,23.862876729460393,34.390157125716954
1063,Boxer,9,medium,Female,30.409374642793225,27.034896017705105
1248,Chihuahua,11,small,Female,29.9061593922902,31.451771696120996
7645,German Shepherd,1,large,Male,26.5452557600019,30.853786468452082
3493,Rottweiler,10,large,Male,29.738787693775627,29.385944278288836
5347,Border Collie,5,medium,Male,30.99907956510698,32.18909937284376
7191,Maltese,10,small,Male,25.235146581721754,30.981708437501645
1289,Golden Retriever,14,large,Female,27.846257848229435,31.952009716126337
3410,Labrador Retriever,8,large,Male,27.799765996211683,34.60268151341194
8410,Beagle,8,small,Female,30.929695934594346,31.401899287388808
9314,Chihuahua,13,small,Male,23.2291523939471,29.95834717754211
3805,Maltese,10,small,Female,23.676491476250217,33.97988694053194
7847,Dachshund,4,small,Female,25.41464635717824,25.285006817621603
7349,Border Collie,1,medium,Female,30.869779569762244,29.840301480350604
7688,Rottweiler,15,large,Female,24.401621382589425,33.99217512574862
7380,Boxer,12,medium,Male,30.47279257469083,28.85300810604279
3065,Bulldog,14,medium,Female,30.806724530795037,25.717885127910012
7924,Chihuahua,11,small,Male,29.04791819474692,27.304544543087815
3899,Beagle,1,small,Female,29.43404726162771,26.914162050646134
2971,Golden Retriever,1,large,Male,29.581527008807413,35.27590398826872
3668,Bulldog,4,medium,Male,23.386412720781784,25.19315150733079
2176,Dachshund,6,small,Male,23.13487534936605,35.76465429729262
3242,Dachshund,12,small,Female,22.653865212085847,28.67139023935186
1936,Beagle,14,small,Male,22.296675413581802,26.957887621835845
4821,Chihuahua,10,small,Male,26.63354993371699,33.46366381954875
6405,Great Dane,1,large,Male,23.709813279011584,32.143267513539044
5899,Chihuahua,7,small,Male,28.39648768933223,33.12150364474543
7222,Yorkshire Terrier,12,small,Female,26.625880497035535,25.73029833308131
7668,Doberman Pinscher,10,large,Female,27.30932963001335,28.139649680623435
8868,Rottweiler,10,large,Male,30.875079711690656,29.109273708716728
3962,Great Dane,4,large,Male,29.71348643099447,28.977784068848393
2937,Dachshund,3,small,Female,24.271275563488487,32.60431326204088
9811,Poodle,14,small,Male,30.118578385434432,33.58956241617013
4891,Doberman Pinscher,2,large,Male,22.520448113502443,28.88892614939171
8163,Maltese,4,small,Male,28.474133551038392,30.879741249065578
6596,Great Dane,3,large,Female,23.621117138772345,26.947523176308586
8203,Yorkshire Terrier,15,small,Male,22.76048263362999,33.48358838521603
8100,Beagle,13,small,Female,22.59067244206761,35.74782981791883
9174,Doberman Pinscher,2,large,Female,27.750817253857946,29.86615617179128
2104,Dachshund,13,small,Male,24.88306309578864,31.682715571869142
9609,Chihuahua,13,small,Female,23.393326766190082,27.799467316099722
4314,Yorkshire Terrier,1,small,Female,29.733279191469805,25.01499338440205
3539,Labrador Retriever,10,large,Female,27.986790526977202,35.81236097789336
6962,Rottweiler,13,large,Male,28.00974157746003,28.594423041785824
3131,Siberian Husky,10,medium,Male,30.03270562893453,29.114197267704025
2368,Doberman Pinscher,6,large,Female,24.438692949159392,34.039999648306235
7025,Rottweiler,14,large,Female,22.091209385918837,34.675291467137555
2787,Poodle,8,small,Male,25.806865392377272,35.33100420496732
7637,Bulldog,8,medium,Male,29.764210930558804,26.763662708810774
6449,Labrador Retriever,11,large,Male,22.72782684648802,32.33008193296947
9137,Australian Shepherd,1,medium,Male,27.06862173822649,32.38565739370683
1429,Dachshund,3,small,Female,26.006758663288643,31.637523835091024
3607,German Shepherd,11,large,Male,28.03034697330517,27.058709694255658
3560,Border Collie,1,medium,Male,27.234039069197152,35.170436276915524
1454,Yorkshire Terrier,11,small,Male,28.528713638308908,35.87866492469585
6643,Dachshund,11,small,Male,30.26586930997863,30.83787617089653
3642,Siberian Husky,15,medium,Male,30.496174019105144,28.274605878504417
1770,Golden Retriever,7,large,Male,28.426562134073414,27.770703571911564
5144,Labrador Retriever,10,large,Female,22.802029975273612,30.398164958583216
9476,Labrador Retriever,12,large,Female,27.684161535157926,34.83560722604924
1719,Poodle,14,small,Female,30.734939066846344,29.76266315613593
8323,Chihuahua,7,small,Female,25.733530442310705,35.5000622308537
6161,Chihuahua,14,small,Male,24.685262273798465,31.21716860176809
7658,Rottweiler,11,large,Female,29.67300888753767,26.65921314577711
5999,Doberman Pinscher,10,large,Male,24.614900359795172,27.61361262433315
5626,Golden Retriever,13,large,Female,22.0612656348824,32.895878346945565
1983,Doberman Pinscher,13,large,Female,30.41170235640096,29.08916818324117
1487,Poodle,1,small,Male,28.483251592669227,34.84206385917181
5690,Bulldog,12,medium,Male,28.575912479848398,29.06372863579398
1278,Bulldog,1,medium,Male,28.960730842531817,27.429651731778087
2544,Bulldog,15,medium,Male,24.13088795171824,29.48347281845494
9906,Great Dane,9,large,Female,28.741506103046056,34.91206720705768
1832,Beagle,10,small,Female,22.617165495100064,25.002580473766454
4412,Labrador Retriever,13,large,Male,29.986571149259014,29.929418679063808
2912,Golden Retriever,9,large,Male,26.36672060612439,32.95430965328802
2532,Poodle,5,small,Female,27.634374876229824,25.056963708849107
9480,Maltese,15,small,Female,22.207830284256257,35.727960425937106
4649,Rottweiler,2,large,Male,28.4410615439685,31.244584165576068
3288,Beagle,12,small,Male,26.2560150524045,27.04962848713337
5294,Doberman Pinscher,15,large,Male,28.108578310121604,35.837100333005644
9099,Doberman Pinscher,4,large,Female,24.99025207703798,28.239665439417355
5461,Great Dane,15,large,Female,23.95582895238848,29.384066423291536
3393,Labrador Retriever,6,large,Female,26.036935348826944,26.289191929258994
6753,Great Dane,14,large,Female,26.67933022170557,34.38838769869701
9169,Australian Shepherd,13,medium,Male,28.313643291163945,34.49046837981906
9209,Boxer,4,medium,Female,23.899257570521797,29.955608753287027
8177,Maltese,3,small,Male,25.271563526051708,27.62765710645135
6344,Poodle,12,small,Female,24.963678815041693,25.45477626818005
1277,Australian Shepherd,9,medium,Male,26.07429681357409,25.418641951027602
3014,French Bulldog,9,small,Male,25.311884277682005,31.878606719517627
4193,French Bulldog,4,small,Male,23.103495664520416,32.680698406068245
3663,Beagle,5,small,Female,25.249329429586684,25.531396219147382
5271,Pomeranian,1,small,Female,27.675254297813623,35.15555863909839
7572,German Shepherd,2,large,Male,29.11794863661848,35.825365504323116
8899,Rottweiler,2,large,Female,27.669178825340808,28.43772566494729
5122,Labrador Retriever,14,large,Male,27.357938155303774,29.590118061215705
5085,Chihuahua,2,small,Male,22.074126415842397,34.761708762478776
3826,Chihuahua,11,small,Female,25.653830001119783,26.7283173561634
6207,Chihuahua,10,small,Male,24.71246512123541,27.284439512168447
5647,Beagle,5,small,Male,25.649838260388673,25.611885090717433
4167,Dachshund,15,small,Female,28.043919620047195,28.39142269802558
3175,French Bulldog,11,small,Female,23.55057584190969,35.01008348963735
7394,Poodle,12,small,Female,23.247723010339506,33.133000626546
5080,Shih Tzu,3,small,Female,22.126496376080034,34.84730363742512
5833,Dachshund,3,small,Female,28.135107080324264,34.44023898941122
2802,Beagle,1,small,Female,22.55930214246581,29.179493299200864
2635,Rottweiler,11,large,Male,25.279712289468442,29.234198220147114
8541,German Shepherd,1,large,Female,30.893448328811775,29.75986775050036
5806,Doberman Pinscher,5,large,Female,30.42421360828356,28.71119411435054
6587,Dachshund,1,small,Male,23.463462217493436,33.985187841131136
7681,Maltese,7,small,Male,22.07236605344263,34.76934980384698
9427,Pomeranian,12,small,Female,24.114239289669264,32.163772891692965
8049,Australian Shepherd,3,medium,Male,23.05054967509207,35.213944615463355
1563,Labrador Retriever,3,large,Female,27.38680589325827,26.879053841956903
7052,Bulldog,5,medium,Female,30.291538945944076,34.417228160712675
2539,Golden Retriever,11,large,Male,28.162644257122434,33.33897670298215
4109,Shih Tzu,4,small,Female,30.982845813651863,30.994061787492807
3557,Poodle,13,small,Male,25.07132888860767,30.459960977369747
3901,Pomeranian,10,small,Female,25.537123398103255,28.19751163645734
9925,Border Collie,8,medium,Female,23.375830609347574,26.940773999292237
4327,Border Collie,3,medium,Female,22.397247708667585,34.96152149407767
6882,Great Dane,1,large,Female,26.008762892754568,29.53275624519814
4500,Border Collie,6,medium,Male,30.013656022691148,32.562388214262334
7930,Australian Shepherd,7,medium,Male,22.75428971368626,29.07399706752912
5623,Bulldog,2,medium,Male,28.84434415091396,26.20642497236305
3719,Australian Shepherd,3,medium,Male,27.967872437085582,26.876162020416484
7421,Labrador Retriever,14,large,Female,30.027231541845694,35.48857935711132
3406,Dachshund,7,small,Male,30.056127227078967,34.82452616296598
5549,Dachshund,3,small,Female,27.563927689163997,25.999638110395992
5691,German Shepherd,8,large,Male,26.9025038269952,32.18480325867049
4762,Labrador Retriever,10,large,Male,28.998532803124125,29.405252600027335
7136,Chihuahua,14,small,Female,22.499421091325395,32.45788563579568
8607,Siberian Husky,11,medium,Male,28.459179873049337,26.377782676387355
4009,Shih Tzu,12,small,Female,22.44139793626454,25.926595260023014
5265,Great Dane,3,large,Female,30.70998248118068,26.173849705814405
2320,Siberian Husky,6,medium,Male,24.182442036316118,31.355613053011442
3304,French Bulldog,10,small,Male,30.240302395868593,30.119498377975912
3773,Siberian Husky,9,medium,Male,22.613351870410135,25.849137505611115
5307,Shih Tzu,12,small,Male,26.04363812179584,32.087729504687466
1150,Maltese,1,small,Male,24.72190758656254,33.88367934975148
5849,Maltese,9,small,Female,27.2475698169926,32.63940464733981
8229,Shih Tzu,10,small,Male,27.7319606784151,33.01267574201133
3643,Doberman Pinscher,2,large,Male,22.066605005936164,35.091948497862106
2876,Dachshund,8,small,Male,26.867965004381702,35.17794637911679
2401,Boxer,3,medium,Female,26.81255421742437,28.260215557008436
4378,Poodle,13,small,Male,29.4761658807767,34.59825892279813
2931,Poodle,4,small,Male,28.40834188972876,25.429385588782328
7483,Pomeranian,13,small,Male,30.98999898149879,28.14302129253206
4013,Boxer,13,medium,Female,25.998490892412054,33.65849511756832
7459,Pomeranian,7,small,Male,26.645604880248285,30.99609113533638
1026,Poodle,8,small,Female,28.195163344618777,35.0547875117077
5629,Great Dane,3,large,Female,24.85810485425336,25.930944162021653
9226,Chihuahua,12,small,Male,30.23462389997806,35.66532820872034
6921,Shih Tzu,4,small,Female,29.85187117652665,25.1583789767813
3976,Dachshund,6,small,Female,26.503899122953445,34.09925361131697
6940,German Shepherd,14,large,Male,28.868809987241836,29.859953658114122
8304,Bulldog,1,medium,Male,26.183308884318507,28.214138904943958
2276,Golden Retriever,13,large,Male,25.322893681275993,25.307343454758666
1452,Maltese,3,small,Female,27.589905467692084,29.774578397893706
1263,Rottweiler,10,large,Female,22.071826835928057,32.05309474823034
4068,Doberman Pinscher,13,large,Male,29.26596648411246,26.765023771006007
4983,Border Collie,11,medium,Male,26.782884133508304,29.320249387647326
2366,German Shepherd,15,large,Male,27.146826206264418,25.779558582563045
5807,Maltese,2,small,Female,23.602919148759483,27.1248066082549
7721,Doberman Pinscher,15,large,Female,23.39310707739482,35.269475018893715
8443,Labrador Retriever,13,large,Female,28.838801278578735,35.20723363872699
6754,Golden Retriever,2,large,Male,23.65877763982314,25.38688513427062
9324,Labrador Retriever,4,large,Female,26.28753271409613,33.77328308718052
6807,Rottweiler,15,large,Female,22.892455169061144,33.765838327265826
9716,Poodle,4,small,Female,23.651557492086567,32.32289806963164
4999,Australian Shepherd,8,medium,Female,23.06182646161049,29.81908858268025
8891,Shih Tzu,10,small,Male,28.357007062041134,33.521950362335375
1139,Golden Retriever,10,large,Male,22.21515907569887,27.26256854546952
1121,Doberman Pinscher,6,large,Male,24.81913051064334,32.059873627605754
7329,Golden Retriever,12,large,Male,30.589768088512137,26.86429770714039
8319,Australian Shepherd,2,medium,Female,22.667371280735914,29.233483784006214
8648,French Bulldog,10,small,Female,30.525107187137756,32.983587903391
2082,French Bulldog,13,small,Male,22.605501378224634,34.181529424394775
7670,Beagle,2,small,Female,30.642207011141476,28.318666202766583
3763,Border Collie,1,medium,Male,27.76114568435643,29.47869835394828
8586,Siberian Husky,7,medium,Male,30.73116897656895,26.524162115705124
1237,Pomeranian,4,small,Male,25.951101282458037,33.18901516544718
3407,Rottweiler,6,large,Female,26.74743375702743,26.616783220078332
2128,Golden Retriever,3,large,Female,24.686117108207654,33.93665175356187
2059,Rottweiler,15,large,Female,25.421561683931028,28.317587456591312
7530,Poodle,10,small,Male,29.5811303750162,31.3210407636318
3141,Labrador Retriever,1,large,Male,30.571834746264333,29.37427610140022
8246,Australian Shepherd,11,medium,Male,23.30574915501888,29.907862482208976
6907,Dachshund,2,small,Male,28.851024516477207,35.19417059615183
1482,Yorkshire Terrier,13,small,Male,22.67915977793892,33.27816772208081
3092,Golden Retriever,10,large,Male,29.722356342132134,25.724336560373455
1938,Australian Shepherd,8,medium,Female,29.323833495073412,35.551356605367594
7339,Golden Retriever,8,large,Female,22.681666753987052,25.07930369249968
8362,Australian Shepherd,13,medium,Male,22.941560840351816,34.59923450844533
3883,Shih Tzu,10,small,Male,23.02586689230069,26.014360820616968
9862,Australian Shepherd,5,medium,Male,22.447057652042393,29.057521234469117
8268,Bulldog,4,medium,Female,30.213780031482337,33.69764312263915
1952,Boxer,9,medium,Female,24.713809512658614,27.407190692874575
8089,Poodle,10,small,Male,22.77738241227078,33.33630828789294
2788,Rottweiler,9,large,Female,24.99835977349486,26.255282202603603
3907,Siberian Husky,14,medium,Male,27.374996757457815,31.311721080512022
2856,Border Collie,11,medium,Female,30.495229608131474,34.200965549632144
1384,Australian Shepherd,3,medium,Female,22.52150499850115,35.09217072988277
3163,Pomeranian,15,small,Male,23.467101962432277,35.10844775892114
3783,Dachshund,13,small,Female,27.15807153404232,29.47947090197284
2278,Yorkshire Terrier,4,small,Male,28.301228750981714,25.70356789525221
4088,Bulldog,7,medium,Male,27.78562047472477,34.97483025725555
9521,Border Collie,3,medium,Female,28.858893565799946,25.19339166604937
2336,Dachshund,11,small,Male,23.7753738142978,32.27728709058261
8712,Great Dane,13,large,Female,24.296894411769507,35.35455566367227
8581,Yorkshire Terrier,12,small,Female,30.559636323621184,30.992164359025733
2809,French Bulldog,11,small,Female,29.540766977828426,34.897708735208994
3219,Beagle,1,small,Female,28.744080340331422,27.54634685072604
8218,German Shepherd,13,large,Male,22.39601446889284,28.17303248681679
5760,Australian Shepherd,15,medium,Male,28.459142226508405,33.755866547571095
3712,Rottweiler,5,large,Female,24.152645433867093,32.808118985159346
3028,Beagle,4,small,Male,23.219294545942066,26.066917919731143
9256,Dachshund,11,small,Female,29.25058185550121,29.856628987924232
8198,Chihuahua,11,small,Female,24.985801929370734,32.2138387057413
2134,German Shepherd,8,large,Female,25.471832017090044,28.624808354948314
8281,Rottweiler,7,large,Male,30.115381012319222,29.445213210190452
7038,Maltese,9,small,Male,28.996616120034453,31.885702795250275
9516,Dachshund,1,small,Male,23.95896744751044,28.77008899605323
3906,Siberian Husky,4,medium,Female,23.84110880051215,35.46508313117907
6383,Yorkshire Terrier,11,small,Female,30.48459591916589,31.752017798422898
4079,Bulldog,3,medium,Male,28.516376655029298,35.152794951991325
9710,Maltese,12,small,Female,22.98700998672213,29.184119383132327
6208,Labrador Retriever,14,large,Male,29.600181211975162,30.042245680907836
2416,Labrador Retriever,5,large,Female,29.620370069770708,26.469483452818263
4184,Bulldog,15,medium,Female,25.3049536267552,30.09680718079442
8950,Dachshund,2,small,Male,26.265660512816268,28.806582422084727
9218,Chihuahua,10,small,Female,27.921624769048794,25.434519831256345
3136,Australian Shepherd,1,medium,Female,22.73567642209641,32.16502416382571
7901,Labrador Retriever,2,large,Male,22.72048542139988,28.662526911555876
6541,Maltese,11,small,Male,28.648117397585526,27.233056231099226
4812,Yorkshire Terrier,11,small,Male,30.26141990519479,35.66903492063442
8393,Dachshund,7,small,Male,30.996642591051128,33.6454190462199
9825,Siberian Husky,1,medium,Male,28.617329648181517,27.85280280205034
5224,Shih Tzu,14,small,Male,30.03749042675284,28.552981816377976
5018,Dachshund,3,small,Female,30.576461916451645,33.33639633673625
5701,German Shepherd,12,large,Male,26.259265933881426,31.2384709840733
9536,Boxer,14,medium,Female,24.528307258123842,28.549247763823654
4803,Maltese,5,small,Female,24.81173368613881,32.69711794521261
9781,Australian Shepherd,10,medium,Female,30.18975804976183,26.188851652678075
1338,Beagle,7,small,Male,22.401326706828407,30.831406618592805
9863,Australian Shepherd,8,medium,Male,29.249424607800513,34.765357733713174
4106,Doberman Pinscher,11,large,Male,25.836824295477516,25.324272119205418
1104,Bulldog,11,medium,Female,22.20440529956672,31.43012184851196
9546,Yorkshire Terrier,3,small,Female,26.912433259107075,31.47424849331328
2758,Bulldog,7,medium,Male,24.55002617008423,33.09865239989078
2168,Australian Shepherd,5,medium,Female,24.08373500178818,35.29223498935086
1388,Chihuahua,15,small,Female,28.786550442927535,26.569567998439492
